dimension,C,gamma,accuracy
30,1,0.01,0.563
30,1,0.001,0.563
30,1,0.0001,0.542
30,10,0.01,0.542
30,10,0.001,0.563
30,10,0.0001,0.563
30,100,0.01,0.5
30,100,0.001,0.542
30,100,0.0001,0.563
30,1000,0.01,0.5
30,1000,0.001,0.5
30,1000,0.0001,0.542
30,1,0.00001,0.792
30,10,0.00001,0.583
30,100,0.00001,0.563
30,1000,0.00001,0.563
30,0.1,0.01,0.563
30,0.1,0.001,0.583
30,0.1,0.0001,0.771
30,0.1,0.00001,0.688
30,1,0.000001,0.5
30,10,0.000001,0.5
30,100,0.000001,0.5
30,1000,0.000001,0.5
30,0.1,0.000001,0.563
30,1,0.0000001,0.5
30,10,0.0000001,0.5
30,100,0.0000001,0.5
30,1000,0.0000001,0.5
30,0.1,0.0000001,0.563
40,1,0.01,0.563
40,1,0.001,0.583
40,1,0.0001,0.563
40,10,0.01,0.521
40,10,0.001,0.583
40,10,0.0001,0.583
40,100,0.01,0.563
40,100,0.001,0.521
40,100,0.0001,0.563
40,1000,0.01,0.542
40,1000,0.001,0.563
40,1000,0.0001,0.521
40,1,0.00001,0.813
40,10,0.00001,0.563
40,100,0.00001,0.583
40,1000,0.00001,0.563
40,0.1,0.01,0.563
40,0.1,0.001,0.604
40,0.1,0.0001,0.458
40,0.1,0.00001,0.333
40,1,0.000001,0.563
40,10,0.000001,0.563
40,100,0.000001,0.563
40,1000,0.000001,0.563
40,0.1,0.000001,0.563
40,1,0.0000001,0.563
40,10,0.0000001,0.563
40,100,0.0000001,0.563
40,1000,0.0000001,0.563
40,0.1,0.0000001,0.563
50,1,0.01,0.583
50,1,0.001,0.583
50,1,0.0001,0.583
50,10,0.01,0.542
50,10,0.001,0.583
50,10,0.0001,0.583
50,100,0.01,0.521
50,100,0.001,0.542
50,100,0.0001,0.583
50,1000,0.01,0.5
50,1000,0.001,0.521
50,1000,0.0001,0.542
50,1,0.00001,0.792
50,10,0.00001,0.646
50,100,0.00001,0.563
50,1000,0.00001,0.583
50,0.1,0.01,0.583
50,0.1,0.001,0.583
50,0.1,0.0001,0.417
50,0.1,0.00001,0.729
50,1,0.000001,0.5
50,10,0.000001,0.542
50,100,0.000001,0.542
50,1000,0.000001,0.542
50,0.1,0.000001,0.583
50,1,0.0000001,0.5
50,10,0.0000001,0.542
50,100,0.0000001,0.542
50,1000,0.0000001,0.542
50,0.1,0.0000001,0.583
100,1,0.01,0.521
100,1,0.001,0.5
100,1,0.0001,0.438
100,10,0.01,0.438
100,10,0.001,0.521
100,10,0.0001,0.521
100,100,0.01,0.396
100,100,0.001,0.438
100,100,0.0001,0.5
100,1000,0.01,0.438
100,1000,0.001,0.396
100,1000,0.0001,0.438
100,1,0.00001,0.563
100,10,0.00001,0.438
100,100,0.00001,0.542
100,1000,0.00001,0.521
100,0.1,0.01,0.5
100,0.1,0.001,0.5
100,0.1,0.0001,0.396
100,0.1,0.00001,0.583
100,1,0.000001,0.417
100,10,0.000001,0.417
100,100,0.000001,0.378
100,1000,0.000001,0.396
100,0.1,0.000001,0.438
100,1,0.0000001,0.417
100,10,0.0000001,0.417
100,100,0.0000001,0.375
100,1000,0.0000001,0.396
100,0.1,0.0000001,0.438
200,1,0.01,0.58333
200,1,0.001,0.52083
200,1,0.0001,0.625
200,10,0.01,0.4375
200,10,0.001,0.583
200,10,0.0001,0.58333
200,100,0.01,0.39583
200,100,0.001,0.4375
200,100,0.0001,0.58333
200,1000,0.01,0.39583
200,1000,0.001,0.39583
200,1000,0.0001,0.4375
200,1,0.00001,0.75
200,10,0.00001,0.66667
200,100,0.00001,0.58333
200,1000,0.00001,0.58333
200,0.1,0.01,0.58333
200,0.1,0.001,0.5
200,0.1,0.0001,0.60417
200,0.1,0.00001,0.41667
200,1,0.000001,0.438
200,10,0.000001,0.396
200,100,0.000001,0.396
200,1000,0.000001,0.396
200,0.1,0.000001,0.563
200,1,0.0000001,0.438
200,10,0.0000001,0.396
200,100,0.0000001,0.396
200,1000,0.0000001,0.396
200,0.1,0.0000001,0.563
